Name,Age,Phone
C,72,980188952
D,57,978332880
C,39,908684500
D,65,981398646
C,84,825212957
C,57,870169485
B,94,856711727
B,24,917328623
A,44,821943339
A,26,976379440
B,52,860729120
C,43,839673749
A,60,969654774
B,28,813314078
B,50,981642137
A,73,916788965
B,86,951431928
B,54,978383463
B,98,971918954
A,88,867320731
C,46,874227111
D,58,915308816
C,84,891768961
D,31,977108113
A,37,944804622
A,39,943143507
B,98,853230904
B,68,927372185
B,49,869865067
A,71,872344979
D,47,963274534
C,73,948150057
D,57,983021053
B,37,988149012
C,44,893497643
C,49,923968594
D,81,871604296
A,40,841875131
C,66,923195997
C,66,866239348
B,88,962878341
D,30,946281893
D,21,848050364
B,50,897484098
D,92,985510349
B,38,900971439
A,98,981923240
B,42,898521294
B,76,914089411
C,29,977339656
D,62,819964385
D,74,979163578
A,67,932464143
C,96,927959108
A,66,845140803
A,62,957832337
B,80,913109859
C,60,814823733
A,77,957866367
B,33,867968051
B,38,876356141
C,39,803126359
C,80,899919107
B,92,914119303
A,78,878606090
D,81,839951806
B,20,976628136
A,65,836672885
D,91,930627235
B,84,954088629
D,74,801313403
A,70,956662217
D,82,984601273
D,92,806355752
B,79,890852352
C,69,809190743
A,26,900173448
D,37,888319267
B,75,978128838
D,49,866673823
D,80,860122297
A,92,955370910
B,58,803895564
A,46,824482055
A,24,970985594
A,53,957727162
A,40,920050390
C,40,966116459
B,27,887263831
D,29,966242507
C,87,821110309
C,59,863401758
C,68,963368317
B,78,845723485
B,55,951789302
D,72,846903292
A,78,982672876
A,96,945158576
C,70,974494167
D,84,820773662
D,80,951356458
B,88,802237582
C,98,816712499
C,57,853036341
A,47,953511737
C,36,889427114
D,96,905233703
D,50,934265216
C,38,877518054
D,96,870505318
A,49,985955349
D,82,884653653
B,47,889488737
A,29,954952132
C,44,839966927
C,43,847516526
C,21,869776762
D,26,955062105
C,57,902029338
C,43,816961602
C,27,891139400
A,89,805539619
A,35,967894829
A,30,882616617
A,84,811545553
D,23,963185901
B,49,861783944
A,38,953748756
C,76,956053965
D,99,959291899
A,40,936563498
A,41,917890419
B,91,950033171
D,51,882392725
C,71,872922974
C,48,986354692
A,36,837974945
A,91,830544528
B,71,890900042
A,71,938924802
B,46,933818113
C,62,919795144
A,24,979830003
C,55,823735550
A,63,836542064
B,74,941104432
A,51,869991512
B,36,855582177
C,30,972167022
B,38,932958655
B,42,831190135
D,58,842155291
B,84,956932740
A,27,874225272
D,65,829664396
A,47,959108545
A,39,865911438
D,62,985549388
A,25,853393753
B,70,898597658
D,58,804074316
C,85,901429332
D,28,917844829
C,81,932914476
D,46,948809177
C,99,846636082
B,60,822472620
A,85,923612611
D,96,963108774
D,92,917894399
C,92,988160601
B,78,829594954
C,86,802092737
D,86,955787297
A,58,948142839
B,27,928272115
C,87,862404984
D,88,844943781
C,93,926131599
D,26,884767561
A,83,867801492
C,95,853798254
C,54,860494000
A,47,806993828
B,78,807718893
D,34,858171945
D,78,922282524
D,96,809321278
C,95,927031250
D,57,942325305
D,35,813047455
D,30,924436389
B,82,909748022
D,42,852464232
C,88,813549703
A,77,862589152
B,34,958405804
B,92,897832951
D,25,938596482
D,62,886290457
D,20,840906274
A,30,961094362
C,63,927134663
D,86,811536857
C,21,838886207
C,54,910234396
A,94,893255598
A,40,989033606
B,44,838955601
A,82,950967855
B,60,802759860
D,62,945990033
A,47,867706090
C,73,818750866
B,58,878111175
D,52,804309692
D,80,931482233
B,63,910199868
D,54,825354048
C,32,861552819
B,77,921255669
D,99,862201433
D,63,851432524
D,75,914596697
D,20,929216396
D,77,910817520
D,98,911393041
D,92,921551789
D,66,962243389
C,58,921146052
A,24,904422087
B,40,869245310
C,27,929371186
C,30,989470827
A,30,811698121
D,98,874677369
C,64,912998155
C,60,814402724
A,93,832622783
D,54,871055566
B,50,960348208
D,91,885808415
D,83,837054509
A,48,827454126
D,46,808830895
D,97,932668590
A,70,852425709
C,66,918066114
D,51,804928054
B,73,826918295
D,75,927989015
B,36,910217445
B,72,803824017
C,44,914586340
B,98,854466862
D,21,957310177
B,49,819555412
D,26,866272706
D,34,893339366
D,53,969181660
D,75,969361282
C,42,832684870
C,48,919881775
C,47,971466879
B,22,802368397
A,95,862717516
C,40,938162350
D,27,864450084
D,70,930795283
D,65,943505379
D,22,868471961
C,82,978228403
C,91,936752731
A,92,944776260
D,34,895629575
B,31,950225820
C,22,965326224
C,44,824949128
A,93,918875433
B,70,950486504
A,63,938699749
C,99,825511736
C,48,869428857
B,74,885961669
A,22,800622850
D,80,869337740
B,27,821461760
B,35,893922531
C,90,822315569
B,98,867526921
A,34,853981640
A,85,971508691
C,90,986928165
D,98,875504465
D,91,822758959
A,92,840301972
C,52,951907914
D,94,844201148
B,74,804015081
B,88,958745196
D,28,881679127
A,71,950792352
D,24,975733199
C,88,973256680
A,99,801498838
C,71,810220568
D,82,916581295
C,99,968227619
A,23,827758936
C,33,946996424
A,81,922547861
A,43,819799776
D,52,847130084
D,42,938148481
D,63,983447311
D,96,823298738
D,44,802561926
B,47,982089497
B,29,843804639
D,33,935749863
C,31,815709275
A,95,889166308
D,25,934705226
C,80,956061814
C,26,937379804
B,35,962541768
D,25,862773295
D,28,946948896
A,56,985504635
D,97,941841730
A,29,809435910
D,74,883628682
D,56,941675479
C,24,822365261
A,51,880270388
B,57,813676208
C,52,842704583
D,32,863851371
B,37,911341504
A,67,895649254
C,68,816606226
B,24,956425373
D,93,983958506
C,33,886749015
B,84,832425686
C,36,907881366
D,90,941996605
B,89,964524527
B,27,974965174
B,22,835777680
B,60,884779038
A,68,895032902
C,95,911089519
D,58,880404424
D,79,888773943
D,44,921529500
C,45,880549623
D,71,962237090
D,20,933650246
B,64,978216458
A,90,810194012
D,91,884599817
A,25,946342500
B,38,850638294
D,33,890861543
C,89,856845724
B,62,842169122
B,75,964285772
A,24,839953499
C,99,934302366
C,29,811039142
D,71,834731993
B,58,896952791
B,23,826906155
C,60,968506480
D,32,848261960
A,70,835791760
C,91,860284824
C,24,825143404
B,86,953193714
C,46,988879820
A,55,828758903
A,30,873555736
C,76,933868024
D,62,969705128
B,75,856480755
A,24,900972287
C,69,901077620
B,81,807022070
A,29,817668702
C,41,838929003
B,28,873387963
B,25,867417036
D,54,915925445
B,79,914616212
A,36,846004549
B,49,924321226
C,65,904110133
A,67,923475826
A,40,858508887
B,40,877556513
C,27,887569010
A,22,860857816
A,97,824342852
D,88,812330460
D,57,844888747
C,54,942527116
B,74,839404966
A,83,905538820
C,97,869318372
D,53,921365576
B,53,892913310
C,22,894597746
C,65,925504741
C,92,971238866
D,97,813963677
C,41,882094358
C,76,920446570
A,98,960721247
A,71,824352389
B,56,963650947
A,77,911377148
C,78,973452323
A,63,878781871
A,91,962309488
D,39,959694247
A,63,851657342
A,71,844706787
A,25,914551519
A,25,850441463
